date,geography,geography_code,Rural_Urban,total_pop,value,cob_region,cob,percs
2011,North West,E12000002,Total,7052177,4582,Europe,Lithuania,0.06
2011,Yorkshire and The Humber,E12000003,Total,5283733,5912,Europe,Lithuania,0.11
2011,East Midlands,E12000004,Total,4533222,8475,Europe,Lithuania,0.19
2011,West Midlands,E12000005,Total,5601847,4670,Europe,Lithuania,0.08
2011,East,E12000006,Total,5846965,17295,Europe,Lithuania,0.3
2011,London,E12000007,Total,8173941,39817,Europe,Lithuania,0.49
2011,South East,E12000008,Total,8634750,9796,Europe,Lithuania,0.11
2011,South West,E12000009,Total,5288935,3968,Europe,Lithuania,0.08
2011,North East,E12000001,Total,2596886,5892,Europe,Other EU 2001-2011 members,0.23
2011,North West,E12000002,Total,7052177,25424,Europe,Other EU 2001-2011 members,0.36
2011,Yorkshire and The Humber,E12000003,Total,5283733,27705,Europe,Other EU 2001-2011 members,0.52
2011,East Midlands,E12000004,Total,4533222,26545,Europe,Other EU 2001-2011 members,0.59
2011,West Midlands,E12000005,Total,5601847,24483,Europe,Other EU 2001-2011 members,0.44
2011,East,E12000006,Total,5846965,34864,Europe,Other EU 2001-2011 members,0.6
2011,London,E12000007,Total,8173941,126187,Europe,Other EU 2001-2011 members,1.54
2011,South East,E12000008,Total,8634750,56249,Europe,Other EU 2001-2011 members,0.65
2011,South West,E12000009,Total,5288935,22982,Europe,Other EU 2001-2011 members,0.43
2011,North East,E12000001,Total,2596886,8759,Europe,Poland,0.34
2011,North West,E12000002,Total,7052177,51999,Europe,Poland,0.74
2011,Yorkshire and The Humber,E12000003,Total,5283733,47920,Europe,Poland,0.91
2011,East Midlands,E12000004,Total,4533222,53400,Europe,Poland,1.18
2011,West Midlands,E12000005,Total,5601847,52499,Europe,Poland,0.94
2011,East,E12000006,Total,5846965,62100,Europe,Poland,1.06
2011,London,E12000007,Total,8173941,158300,Europe,Poland,1.94
2011,South East,E12000008,Total,8634750,81022,Europe,Poland,0.94
2011,South West,E12000009,Total,5288935,45099,Europe,Poland,0.85
2011,North East,E12000001,Total,2596886,970,Europe,Romania,0.04
2011,North West,E12000002,Total,7052177,3052,Europe,Romania,0.04
2011,Yorkshire and The Humber,E12000003,Total,5283733,2232,Europe,Romania,0.04
2011,East Midlands,E12000004,Total,4533222,3305,Europe,Romania,0.07
2011,West Midlands,E12000005,Total,5601847,4297,Europe,Romania,0.08
2011,East,E12000006,Total,5846965,6698,Europe,Romania,0.11
2011,London,E12000007,Total,8173941,44848,Europe,Romania,0.55
2011,South East,E12000008,Total,8634750,9238,Europe,Romania,0.11
2011,South West,E12000009,Total,5288935,3552,Europe,Romania,0.07
2011,North East,E12000001,Total,2596886,1464,Europe,France,0.06
2011,North West,E12000002,Total,7052177,5560,Europe,France,0.08
2011,Yorkshire and The Humber,E12000003,Total,5283733,3981,Europe,France,0.08
2011,East Midlands,E12000004,Total,4533222,4332,Europe,France,0.1
2011,West Midlands,E12000005,Total,5601847,5329,Europe,France,0.1
